constituency,district,votes_polled,winner_candidate,winner_party,winner_votes,winner_votes_diff_from_runner,runner_candidate,runner_party,runner_votes,runner_votes_diff_from_winner,second_runner,second_runner_party,second_runner_votes,second_runner_diff_from_winner,third_runner,third_runner_party,third_runner_votes,third_runner_diff_from_winner
Alandur,,261570,M.HARISH,TVK,112205,29609,T.M.ANBARASAN,DMK,82596,-29609,S.SARAVANAN,ADMK,52243,-59962,Y.G.MAHALAKSHMI,NTK,10405,-101800
Alangudi,,180483,SIVA.V.MEYYANATHAN,DMK,64929,12977,KANDASAMY,TVK,51952,-12977,DHANA VIMAL,ADMK,50063,-14866,R.RAJARAM,NTK,10652,-54277
Alangulam,,220857,PAUL MANOJ PANDIAN,DMK,69170,7798,K R P PRABAKARAN,ADMK,61372,-7798,VIBIN CHAKKARAVARTHY,TVK,60684,-8486,R PAULRAJ,NTK,23380,-45790
Ambasamudram,,191195,DR.ESAKKI SUBAYA,ADMK,65589,10245,V.P.DURAI,INC,55344,-10245,S.RAJAGOPAL,TVK,53611,-11978,DR.V.SIVASANKARAN,NTK,14906,-50683
Ambattur,,259986,BALAMURUGAN.G,TVK,133339,58781,DR A.P. POORNIMA,DMK,74558,-58781,K.N. SEKAR,PMK,35997,-97342,SILAMBARASAN,NTK,11088,-122251
Ambur,,195584,VILWANATHAN. A.C.,DMK,74102,7131,IMTHIYAZ PANDARATTUDU ABDU,TVK,66971,-7131,VENKATESAN. R,ADMK,47100,-27002,AFSHIA NASRIN. S,NTK,4185,-69917
Anaicut,,216318,D.VELAZHAGAN,ADMK,76302,7081,A.P.NANDAKUMAR,DMK,69221,-7081,R.VELMURUGAN,TVK,63287,-13015,M.RAVIKUMAR,NTK,4746,-71556
Andhiyur,,185775,HARIBASKAR.P,ADMK,60042,1260,SIVABALAN.M,DMK,58782,-1260,VIJAY VENKATESH.M,TVK,56372,-3670,AALANGATTUR ANANDHI,NTK,5287,-54755
Andipatti,,217329,MAHARAJAN.A,DMK,74324,9554,PANDI.V,TVK,64770,-9554,LOGIRAJAN.A,ADMK,63343,-10981,GOMATHI .M,NTK,10346,-63978
Anna Nagar,,163339,V.K.RAMKUMAR,TVK,71375,21363,N.CHITRARASU,DMK,50012,-21363,S.GOKULA INDIRA,ADMK,34382,-36993,S.SHANKAR,NTK,4839,-66536
Arakkonam,,182340,V. GANDHIRAJ,TVK,73776,23121,EZHIL CAROLINE,VCK,50655,-23121,S. RAVI,ADMK,50052,-23724,K. RAJKUMAR,NTK,5191,-68585
Arani,,230162,JAYASUDHA. L,ADMK,76735,5631,MAHALAKSHMI GOVARTHANAN,DMK,71104,-5631,VENKATESH KUMAR. D,TVK,70857,-5878,DHAVAMANI. R,NTK,6888,-69847
Aranthangi,,182730,MOHAMED FARVAS. J,TVK,73244,10062,RAMACHANDRAN . T,INC,63182,-10062,KAVITHA SRIKANTH,BJP,31456,-41788,MUTHULAKSHMI. S,NTK,9975,-63269
Aravakurichi,,181078,ELANGO. R,DMK,70827,19382,KARTHIKEYAN. P,TVK,51445,-19382,SELVAKUMAR. K,ADMK,49289,-21538,NAREN. S,NTK,5154,-65673
Arcot,,225786,S.M.SUKUMAR,ADMK,105608,42720,G.VIJAY MOHAN,TVK,62888,-42720,J.L.ESWARAPPAN,DMK,48840,-56768,ARCHANA NARASIMMAN,NTK,5518,-100090
Ariyalur,,235858,RAJENDRAN S,ADMK,95219,24498,LATHA BALU,DMK,70721,-24498,SIVAKUMAR M,TVK,57359,-37860,PUGAZHENDHI D,NTK,8527,-86692
Aruppukkottai,,178413,RAMACHANDRAN. K.K.S.S.R,DMK,65104,4943,KARTHIK KUMAR. K,TVK,60161,-4943,SETHUPATHY. S,ADMK,37190,-27914,MANIMARAN. G,NTK,8499,-56605
Athoor,,237183,I. PERIASAMY,DMK,106240,22368,N. KALAISELVI,TVK,83872,-22368,A. VISWANATHAN,ADMK,32477,-73763,DR. A. SIMON JUSTIN,NTK,9946,-96294
